Group,Power,Time
1,815.0062597,0.256
1,815.0062597,0.268
1,815.0062597,0.28
1,815.0062597,0.292
1,815.0062597,0.304
1,815.0062597,0.316
1,815.0062597,0.328
1,815.0062597,0.34
1,815.0062597,0.352
1,815.0062597,0.364
1,815.0062597,0.376
1,815.0062597,0.388
1,815.0062597,0.4
1,815.0062597,0.412
1,815.0062597,0.424
1,815.0062597,0.436
1,815.0062597,0.448
1,815.0062597,0.46
1,815.0062597,0.472
1,815.0062597,0.484
1,815.0062597,0.496
1,815.0062597,0.508
1,815.0062597,0.52
1,815.0062597,0.532
1,815.0062597,0.544
1,815.0062597,0.556
1,815.0062597,0.568
1,815.0062597,0.58
1,815.0062597,0.592
1,815.0062597,0.604
1,815.0062597,0.616
1,815.0062597,0.628
1,815.0062597,0.64
1,815.0062597,0.652
1,815.0062597,0.664
1,815.0062597,0.676
1,815.0062597,0.688
1,815.0062597,0.7
1,815.0062597,0.712
1,815.0062597,0.724
1,815.0062597,0.736
1,815.0062597,0.748
1,815.0062597,0.76
1,815.0062597,0.772
1,815.0062597,0.784
1,815.0062597,0.796
1,815.0062597,0.808
1,815.0062597,0.82
1,815.0062597,0.832
1,815.0062597,0.844
1,815.0062597,0.856
1,815.0062597,0.868
1,815.0062597,0.88
1,815.0062597,0.892
1,815.0062597,0.904
1,815.0062597,0.916
1,815.0062597,0.928
1,815.0062597,0.94
1,815.0062597,0.952
1,815.0062597,0.964
1,815.0062597,0.976
1,815.0062597,0.988
1,815.0062597,1
1,815.0062597,1.012
1,815.0062597,1.024
1,815.0062597,1.036
1,815.0062597,1.048
1,815.0062597,1.06
1,815.0062597,1.072
1,815.0062597,1.084
1,815.0062597,1.096
1,815.0062597,1.108
1,815.0062597,1.12
1,815.0062597,1.132
1,815.0062597,1.144
1,815.0062597,1.156
1,815.0062597,1.168
1,815.0062597,1.18
1,815.0062597,1.192
1,815.0062597,1.204
1,815.0062597,1.216
1,815.0062597,1.228
1,815.0062597,1.24
1,815.0062597,1.252
1,815.0062597,1.264
1,815.0062597,1.276
1,815.0062597,1.288
1,815.0062597,1.3
1,815.0062597,1.312
1,815.0062597,1.324
1,815.0062597,1.336
1,815.0062597,1.348
1,815.0062597,1.36
1,815.0062597,1.372
1,815.0062597,1.384
1,815.0062597,1.396
1,815.0062597,1.408
1,815.0062597,1.42
1,815.0062597,1.432
1,815.0062597,1.444
2,815.0062597,1.456
2,815.0062597,1.468
2,815.0062597,1.48
2,815.0062597,1.492
2,815.0062597,1.504
2,815.0062597,1.516
2,815.0062597,1.528
2,815.0062597,1.54
2,815.0062597,1.552
2,815.0062597,1.564
2,815.0062597,1.576
2,815.0062597,1.588
2,815.0062597,1.6
2,815.0062597,1.612
2,815.0062597,1.624
2,815.0062597,1.636
2,815.0062597,1.648
2,815.0062597,1.66
2,815.0062597,1.672
2,815.0062597,1.684
2,815.0062597,1.696
2,815.0062597,1.708
2,815.0062597,1.72
2,815.0062597,1.732
2,815.0062597,1.744
2,815.0062597,1.756
2,815.0062597,1.768
2,815.0062597,1.78
2,815.0062597,1.792
2,815.0062597,1.804
2,815.0062597,1.816
2,815.0062597,1.828
2,815.0062597,1.84
2,815.0062597,1.852
2,815.0062597,1.864
2,815.0062597,1.876
2,815.0062597,1.888
2,815.0062597,1.9
2,815.0062597,1.912
2,815.0062597,1.924
2,815.0062597,1.936
2,815.0062597,1.948
2,815.0062597,1.96
2,815.0062597,1.972
2,815.0062597,1.984
2,815.0062597,1.996
2,815.0062597,2.008
2,815.0062597,2.02
2,815.0062597,2.032
2,815.0062597,2.044
2,815.0062597,2.056
2,824.4917149,2.068
2,834.0058839,2.08
2,843.5580367,2.092
2,853.1547153,2.104
2,862.7998141,2.116
2,872.494667,2.128
2,882.2382986,2.14
2,892.0274526,2.152
2,901.8568412,2.164
2,911.7199699,2.176
2,921.6100702,2.188
2,931.5206373,2.2
2,941.4458742,2.212
2,951.3808937,2.224
2,961.3215766,2.236
2,971.265111,2.248
2,981.2109385,2.26
2,991.161651,2.272
2,1001.123237,2.284
2,1011.104716,2.296
2,1021.117259,2.308
2,1031.173516,2.32
2,1041.286914,2.332
2,1051.470919,2.344
2,1061.738242,2.356
2,1072.100479,2.368
2,1082.567771,2.38
2,1093.148151,2.392
2,1103.846879,2.404
2,1114.666015,2.416
2,1125.604366,2.428
2,1136.65776,2.44
2,1147.819351,2.452
2,1159.080224,2.464
2,1170.43011,2.476
2,1181.858061,2.488
2,1193.353263,2.5
2,1204.905294,2.512
2,1216.503997,2.524
2,1228.139422,2.536
2,1239.801642,2.548
2,1251.480311,2.56
2,1263.164384,2.572
2,1274.84182,2.584
2,1286.499659,2.596
2,1298.124441,2.608
2,1309.702485,2.62
2,1321.220325,2.632
2,1332.665254,2.644
3,1344.025829,2.656
3,1355.292231,2.668
3,1366.455894,2.68
3,1377.508825,2.692
3,1388.443048,2.704
3,1399.250066,2.716
3,1409.920582,2.728
3,1420.444233,2.74
3,1430.808773,2.752
3,1440.998159,2.764
3,1450.991244,2.776
3,1460.761144,2.788
