Group,Power,Time
1,243.1413385793746,0.256
1,243.1413385793746,0.268
1,243.1413385793746,0.28
1,243.1413385793746,0.292
1,243.1413385793746,0.304
1,243.1413385793746,0.316
1,243.1413385793746,0.328
1,243.1413385793746,0.34
1,243.1413385793746,0.352
1,243.1413385793746,0.364
1,243.1413385793746,0.376
1,243.1413385793746,0.388
1,243.1413385793746,0.4
1,243.1413385793746,0.412
1,243.1413385793746,0.424
1,243.1413385793746,0.436
1,243.1413385793746,0.448
1,243.1413385793746,0.46
1,243.1413385793746,0.472
1,243.1413385793746,0.484
1,243.1413385793746,0.496
1,243.1413385793746,0.508
1,243.1413385793746,0.52
1,243.1413385793746,0.532
1,243.1413385793746,0.544
1,243.1413385793746,0.556
1,243.1413385793746,0.568
1,243.1413385793746,0.58
1,243.1413385793746,0.592
1,243.1413385793746,0.604
1,243.1413385793746,0.616
1,243.1413385793746,0.628
1,243.1413385793746,0.64
1,243.1413385793746,0.652
1,243.1413385793746,0.664
1,243.1413385793746,0.676
1,243.1413385793746,0.688
1,243.1413385793746,0.7
1,243.1413385793746,0.712
1,243.1413385793746,0.724
1,243.1413385793746,0.736
1,243.1413385793746,0.748
1,243.1413385793746,0.76
1,243.1413385793746,0.772
1,243.1413385793746,0.784
1,243.1413385793746,0.796
1,243.1413385793746,0.808
1,243.1413385793746,0.82
1,243.1413385793746,0.832
1,243.1413385793746,0.844
1,243.1413385793746,0.856
1,243.1413385793746,0.868
1,243.1413385793746,0.88
1,243.1413385793746,0.892
1,243.1413385793746,0.904
1,243.1413385793746,0.916
1,243.1413385793746,0.928
1,243.1413385793746,0.94
1,243.1413385793746,0.952
1,243.1413385793746,0.964
1,243.1413385793746,0.976
1,243.1413385793746,0.988
1,243.1413385793746,1.0
1,243.1413385793746,1.012
1,243.1413385793746,1.024
1,243.1413385793746,1.036
1,243.1413385793746,1.048
1,243.1413385793746,1.06
1,243.1413385793746,1.072
1,243.1413385793746,1.084
1,243.1413385793746,1.096
1,243.1413385793746,1.108
1,243.1413385793746,1.12
1,243.1413385793746,1.132
1,243.1413385793746,1.144
1,243.1413385793746,1.156
1,243.1413385793746,1.168
1,243.1413385793746,1.18
1,243.1413385793746,1.192
1,243.1413385793746,1.204
1,243.1413385793746,1.216
1,243.1413385793746,1.228
1,243.1413385793746,1.24
1,243.1413385793746,1.252
1,243.1413385793746,1.264
1,243.1413385793746,1.276
1,243.1413385793746,1.288
1,243.1413385793746,1.3
1,243.1413385793746,1.312
1,243.1413385793746,1.324
1,243.1413385793746,1.336
1,243.1413385793746,1.348
1,243.1413385793746,1.36
1,243.1413385793746,1.372
1,243.1413385793746,1.384
1,243.1413385793746,1.396
1,243.1413385793746,1.408
1,243.1413385793746,1.42
1,243.1413385793746,1.432
1,243.1413385793746,1.444
2,243.1413385793746,1.456
2,243.1413385793746,1.468
2,243.1413385793746,1.48
2,243.1413385793746,1.492
2,243.1413385793746,1.504
2,243.1413385793746,1.516
2,243.1413385793746,1.528
2,243.1413385793746,1.54
2,243.1413385793746,1.552
2,243.1413385793746,1.564
2,243.1413385793746,1.576
2,243.1413385793746,1.588
2,243.1413385793746,1.6
2,243.1413385793746,1.612
2,243.1413385793746,1.624
