Group,Power,Time
1,351.8992416692291,0.256
1,351.8992416692291,0.268
1,351.8992416692291,0.28
1,351.8992416692291,0.292
1,351.8992416692291,0.304
1,351.8992416692291,0.316
1,351.8992416692291,0.328
1,351.8992416692291,0.34
1,351.8992416692291,0.352
1,351.8992416692291,0.364
1,351.8992416692291,0.376
1,351.8992416692291,0.388
1,351.8992416692291,0.4
1,351.8992416692291,0.412
1,351.8992416692291,0.424
1,351.8992416692291,0.436
1,351.8992416692291,0.448
1,351.8992416692291,0.46
1,351.8992416692291,0.472
1,351.8992416692291,0.484
1,351.8992416692291,0.496
1,351.8992416692291,0.508
1,351.8992416692291,0.52
1,351.8992416692291,0.532
1,351.8992416692291,0.544
1,351.8992416692291,0.556
1,351.8992416692291,0.568
1,351.8992416692291,0.58
1,351.8992416692291,0.592
1,351.8992416692291,0.604
1,351.8992416692291,0.616
1,351.8992416692291,0.628
1,351.8992416692291,0.64
1,351.8992416692291,0.652
1,351.8992416692291,0.664
1,351.8992416692291,0.676
1,351.8992416692291,0.688
1,351.8992416692291,0.7
1,351.8992416692291,0.712
1,351.8992416692291,0.724
1,351.8992416692291,0.736
1,351.8992416692291,0.748
1,351.8992416692291,0.76
1,351.8992416692291,0.772
1,351.8992416692291,0.784
1,351.8992416692291,0.796
1,351.8992416692291,0.808
1,351.8992416692291,0.82
1,351.8992416692291,0.832
1,351.8992416692291,0.844
1,351.8992416692291,0.856
1,351.8992416692291,0.868
1,351.8992416692291,0.88
1,351.8992416692291,0.892
1,351.8992416692291,0.904
1,351.8992416692291,0.916
1,351.8992416692291,0.928
1,351.8992416692291,0.94
1,351.8992416692291,0.952
1,351.8992416692291,0.964
1,351.8992416692291,0.976
1,351.8992416692291,0.988
1,351.8992416692291,1.0
1,351.8992416692291,1.012
1,351.8992416692291,1.024
1,351.8992416692291,1.036
1,351.8992416692291,1.048
1,351.8992416692291,1.06
1,351.8992416692291,1.072
1,351.8992416692291,1.084
1,351.8992416692291,1.096
1,351.8992416692291,1.108
1,351.8992416692291,1.12
1,351.8992416692291,1.132
1,351.8992416692291,1.144
1,351.8992416692291,1.156
1,351.8992416692291,1.168
1,351.8992416692291,1.18
1,351.8992416692291,1.192
1,351.8992416692291,1.204
1,351.8992416692291,1.216
1,351.8992416692291,1.228
1,351.8992416692291,1.24
1,351.8992416692291,1.252
1,351.8992416692291,1.264
1,351.8992416692291,1.276
1,351.8992416692291,1.288
1,351.8992416692291,1.3
1,351.8992416692291,1.312
1,351.8992416692291,1.324
1,351.8992416692291,1.336
1,351.8992416692291,1.348
1,351.8992416692291,1.36
1,351.8992416692291,1.372
1,351.8992416692291,1.384
1,351.8992416692291,1.396
1,351.8992416692291,1.408
1,351.8992416692291,1.42
1,351.8992416692291,1.432
1,351.8992416692291,1.444
2,351.8992416692291,1.456
2,351.8992416692291,1.468
2,351.8992416692291,1.48
2,351.8992416692291,1.492
2,351.8992416692291,1.504
2,351.8992416692291,1.516
2,351.8992416692291,1.528
2,351.8992416692291,1.54
2,351.8992416692291,1.552
2,351.8992416692291,1.564
2,351.8992416692291,1.576
2,351.8992416692291,1.588
2,351.8992416692291,1.6
2,351.8992416692291,1.612
2,351.8992416692291,1.624
2,351.8992416692291,1.636
2,351.8992416692291,1.648
2,351.8992416692291,1.66
2,351.8992416692291,1.672
2,351.8992416692291,1.684
2,351.8992416692291,1.696
2,351.8992416692291,1.708
2,351.8992416692291,1.72
2,351.8992416692291,1.732
2,351.8992416692291,1.744
2,351.8992416692291,1.756
2,351.8992416692291,1.768
2,351.8992416692291,1.78
2,351.8992416692291,1.792
2,351.8992416692291,1.804
2,351.8992416692291,1.816
2,351.8992416692291,1.828
2,351.8992416692291,1.84
2,351.8992416692291,1.852
2,351.8992416692291,1.864
2,351.8992416692291,1.876
2,351.8992416692291,1.888
2,351.8992416692291,1.9
2,351.8992416692291,1.912
2,351.8992416692291,1.924
2,351.8992416692291,1.936
2,351.8992416692291,1.948
2,351.8992416692291,1.96
2,351.8992416692291,1.972
2,351.8992416692291,1.984
2,351.8992416692291,1.996
2,351.8992416692291,2.008
2,351.8992416692291,2.02
2,351.8992416692291,2.032
2,351.8992416692291,2.044
2,351.8992416692291,2.056
2,351.68114809936276,2.068
2,351.45352443989043,2.08
2,351.20943548405353,2.092
2,350.941714534848,2.104
2,350.6432079729488,2.116
2,350.30693165598746,2.128
2,349.92615263290264,2.14
2,349.4945287033259,2.152
2,349.00629437408605,2.164
2,348.4563887321064,2.176
2,347.8405059511198,2.188
2,347.1551118498098,2.2
2,346.3973820658955,2.212
2,345.565149137545,2.224
2,344.65678167612793,2.236
2,343.67100410783723,2.248
2,342.60681233532944,2.26
2,341.4634677683995,2.272
2,340.24055028184245,2.284
2,338.93808957826485,2.296
2,337.5567329500958,2.308
2,336.09788823837954,2.32
2,334.56377384770207,2.332
2,332.9574493128551,2.344
2,331.28275224185467,2.356
2,329.5440738831558,2.368
2,327.74620448036404,2.38
2,325.89420214394164,2.392
2,323.99312740934647,2.404
2,322.0479850917614,2.416
2,320.0637440858409,2.428
2,318.0453014701346,2.44
2,315.9973368834465,2.452
2,313.9242373458839,2.464
2,311.8301989480529,2.476
2,309.7193636634091,2.488
2,307.5962355852355,2.5
2,305.46587536914416,2.512
2,303.33382598928023,2.524
2,301.20593820651294,2.536
2,299.0882784938989,2.548
2,296.9872023244474,2.56
2,294.9094873128532,2.572
2,292.86253242684927,2.584
2,290.85464137885344,2.596
2,288.8951677418265,2.608
2,286.9944090723538,2.62
2,285.1633560016499,2.632
2,283.41333169901014,2.644
3,281.7555997106142,2.656
